#{"t_start": 1770588151.5883014, "env_id": "LunarLander-v3"}
r,l,t
19.388052,1000,71.001187
-6.277062,1000,71.790752
-23.921351,1000,72.578415
-41.84748,1000,73.368512
-34.813829,1000,74.158306
-45.473593,1000,74.944598
-8.740095,1000,75.734149
-20.688783,1000,76.52999
-10.169056,1000,77.318936
8.296822,1000,78.102428
-41.904567,1000,78.88903
-4.998266,1000,79.667737
15.294896,1000,80.465876
-23.140842,1000,81.242405
14.74553,1000,82.023579
-2.35091,1000,82.802427
-40.517524,1000,83.585259
-3.370138,1000,84.368289
-26.282431,1000,85.157561
-50.977674,1000,85.942646
-12.212907,1000,86.725399
-15.555537,1000,88.500551
-13.086073,1000,89.292217
-9.806897,1000,90.084395
-42.722547,1000,90.890465
10.132109,1000,91.679938
-3.906498,1000,92.477129
-50.862126,1000,93.272111
-1.743612,1000,94.067209
13.177454,1000,94.861322
-30.259104,1000,95.654024
0.425965,1000,96.453209
0.466052,1000,97.244473
5.431587,1000,98.040746
-10.618972,1000,98.843286
22.866099,1000,99.648448
-4.774682,1000,100.448664
-31.930416,1000,101.24279
-14.969611,1000,102.043674
18.944278,1000,102.843116
-17.67537,1000,103.637368
26.673706,1000,104.429566
-9.010734,1000,105.223481
-23.342618,1000,106.025782
-10.346688,1000,106.816484
13.554073,1000,107.607066
37.957991,1000,109.392827
-20.731072,1000,110.191746
2.379052,1000,110.975935
-9.078726,1000,111.755076
-31.84947,1000,112.538952
13.856124,1000,113.324884
14.190585,1000,114.106452
9.147085,1000,114.889263
17.664547,1000,115.673289
20.559942,1000,116.450639
21.594476,1000,117.241956
11.557501,1000,118.024137
-50.145666,1000,118.813617
-32.589026,1000,119.598587
12.598845,1000,120.389316
-20.452047,1000,121.173917
202.815665,434,121.515688
-0.612583,1000,122.296581
191.057483,435,122.63991
21.523884,1000,123.425901
199.457349,701,123.977869
222.284503,435,124.324164
30.240914,1000,125.113123
240.710617,388,125.418486
-29.361958,1000,126.206614
239.597493,523,126.617745
-12.406415,1000,127.40611
-22.183773,1000,128.186191
50.399996,1000,129.977591
-22.75618,1000,130.772254
-36.236888,1000,131.558603
-68.045798,1000,132.353565
62.004852,973,133.133935
68.723962,1000,133.930868
171.925543,612,134.421042
-319.929567,870,135.10836
195.810821,613,135.593273
187.172552,588,136.058901
240.924105,242,136.251995
131.182882,975,137.024655
199.977971,613,137.520241
232.365281,261,137.729663
306.669375,330,137.990461
233.334553,253,138.190542
234.394031,494,138.590873
206.543301,313,138.837904
243.522026,241,139.02911
266.553767,318,139.282298
238.504502,303,139.525142
237.778581,368,139.82546
257.356879,278,140.051025
264.876211,733,140.638113
265.330085,331,140.904249
212.005562,449,141.26179
228.84421,409,141.590037
265.093574,316,141.840266
237.350165,401,142.163516
274.422892,384,142.473773
223.299302,337,142.742007
240.980107,371,143.040726
257.343766,210,143.207595
-161.060411,535,143.6465
195.369193,628,144.15667
214.938072,661,144.692496
231.332495,340,144.96783
242.004895,333,145.238023
-96.970744,284,145.468388
17.238506,234,145.658964
287.963695,305,145.913404
265.579711,255,146.119739
284.740503,311,146.37401
220.413052,507,146.786745
222.043277,431,147.133238
265.253615,471,147.516782
235.614378,348,147.795071
257.60508,353,148.079536
209.095906,364,148.370556
277.240311,385,148.687567
296.468114,239,148.876074
268.285492,283,149.103339
260.196397,628,149.886173
233.351394,249,150.083354
105.091986,671,150.630472
274.318497,407,150.952397
222.688641,506,151.358672
228.016519,283,151.583934
302.162944,316,151.833822
268.019456,317,152.083908
271.055942,671,152.622335
250.405471,397,152.934156
151.288689,602,153.419727
236.147066,439,153.767122
294.76923,423,154.105623
271.77035,543,154.540755
224.859044,338,154.809344
265.11547,330,155.07059
173.839306,976,155.836708
265.743088,341,156.106152
274.004888,424,156.443285
181.466651,744,157.032283
226.278194,802,157.669588
236.757554,337,157.936617
215.717868,389,158.24655
243.846009,246,158.44128
220.619363,317,158.69783
182.354441,774,159.310588
164.647394,694,159.853771
202.624416,661,160.379359
267.485746,460,160.748654
213.761596,390,161.061116
253.631908,545,161.491266
57.15441,1000,162.281055
-18.399185,170,162.418522
238.23618,279,162.639698
240.973016,423,162.975484
4.791446,1000,163.763875
258.134649,629,164.264526
220.496055,533,164.686578
268.070185,407,165.010687
-56.536606,1000,165.794971
213.426434,845,166.471374
210.960487,375,166.771061
12.217924,1000,167.616373
119.65967,1000,168.438821
255.427012,353,168.732765
294.469455,303,168.979359
258.916999,648,169.510158
246.557285,433,170.569391
27.412346,89,170.640482
282.784307,464,171.0152
268.322764,571,171.477305
206.903705,477,171.85733
243.989611,178,172.008163
73.264959,1000,172.804894
267.183128,401,173.128051
254.068325,641,173.646344
195.22036,716,174.229504
264.990499,428,174.576362
255.592162,425,174.92135
277.85871,356,175.208575
264.178406,218,175.389307
267.025345,413,175.720733
242.487675,559,176.171671
-11.71259,1000,176.971428
253.972481,171,177.100176
3.172174,115,177.193064
270.500947,305,177.43614
245.710593,845,178.119133
236.834833,287,178.350478
228.801198,519,178.77208
256.429359,843,179.455335
264.770512,538,179.885197
188.29128,404,180.224587
270.107188,649,180.756968
189.014715,363,181.047472
235.181148,791,181.682189
223.98465,921,182.424848
251.053304,455,182.791319
190.737523,804,183.435042
273.159139,266,183.651147
250.485103,912,184.387789
250.176801,441,184.739505
214.038578,603,185.218754
235.414241,698,185.776569
281.695864,336,186.048249
244.95139,816,186.70559
249.743456,433,187.053455
220.080706,577,187.518677
